date,onions,frac
21/07/2015,27310,0.015775
22/07/2015,30038,0.01336
23/07/2015,28319,0.017638
24/07/2015,27693,0.018302
25/07/2015,29147,0.018928
26/07/2015,28680,0.019127
27/07/2015,27761,0.014812
28/07/2015,28269,0.014127
29/07/2015,29758,0.012365
30/07/2015,29019,0.012603
31/07/2015,29417,0.01278
01/08/2015,26005,0.017166
02/08/2015,27928,0.020543
03/08/2015,27880,0.022877
04/08/2015,27284,0.021545
05/08/2015,28431,0.015719
06/08/2015,28362,0.016175
07/08/2015,30106,0.015001
08/08/2015,29330,0.015696
09/08/2015,28519,0.015073
10/08/2015,27792,0.016919
11/08/2015,27167,0.01582
12/08/2015,28880,0.014709
13/08/2015,28752,0.01427
14/08/2015,29301,0.014412
15/08/2015,27262,0.015358
16/08/2015,27324,0.015398
17/08/2015,30118,0.015098
18/08/2015,30606,0.016267
19/08/2015,27506,0.01693
20/08/2015,28593,0.01621
21/08/2015,28441,0.016577
22/08/2015,28376,0.016353
23/08/2015,26582,0.015911
24/08/2015,29260,0.015582
25/08/2015,30036,0.017711
26/08/2015,30821,0.016958
27/08/2015,28854,0.017096
28/08/2015,29413,0.015196
29/08/2015,29990,0.014569
30/08/2015,30363,0.015677
31/08/2015,30047,0.014936
01/09/2015,30024,0.014423
02/09/2015,30317,0.016457
03/09/2015,30768,0.015756
04/09/2015,31502,0.015162
05/09/2015,30096,0.014631
06/09/2015,30588,0.013768
07/09/2015,27822,0.014227
08/09/2015,27950,0.0168
09/09/2015,29329,0.015867
10/09/2015,29633,0.016435
11/09/2015,31212,0.016464
12/09/2015,29209,0.017621
13/09/2015,30599,0.016524
14/09/2015,31413,0.015973
15/09/2015,30993,0.014303
16/09/2015,31378,0.014043
17/09/2015,31577,0.01567
18/09/2015,30082,0.018089
19/09/2015,32394,0.017852
20/09/2015,30222,0.018098
21/09/2015,32446,0.016767
22/09/2015,28802,0.016272
23/09/2015,30910,0.016112
24/09/2015,29425,0.016615
25/09/2015,32905,0.017342
26/09/2015,30759,0.016538
27/09/2015,29292,0.016318
28/09/2015,29165,0.016264
29/09/2015,33267,0.015095
30/09/2015,29998,0.015745
01/10/2015,30393,0.01813
02/10/2015,31267,0.021949
03/10/2015,30013,0.030663
04/10/2015,30416,0.034266
05/10/2015,30658,0.036804
06/10/2015,31837,0.044532
07/10/2015,30794,0.046229
08/10/2015,31817,0.038702
09/10/2015,31456,0.0373
10/10/2015,30082,0.038252
11/10/2015,30294,0.036769
12/10/2015,30359,0.040698
13/10/2015,31359,0.041388
14/10/2015,31372,0.039378
15/10/2015,32152,0.039049
16/10/2015,31796,0.038718
17/10/2015,30181,0.038863
18/10/2015,29628,0.038054
19/10/2015,31318,0.039299
20/10/2015,32322,0.03928
21/10/2015,31317,0.038751
22/10/2015,30586,0.040167
23/10/2015,30122,0.038898
24/10/2015,30779,0.035203
25/10/2015,30169,0.033609
26/10/2015,30315,0.034814
27/10/2015,31445,0.033795
28/10/2015,29725,0.032129
29/10/2015,30475,0.031155
30/10/2015,27575,0.032732
31/10/2015,26754,0.03428
01/11/2015,26750,0.042032
02/11/2015,27556,0.038396
03/11/2015,29254,0.04008
04/11/2015,29077,0.043686
05/11/2015,28580,0.044533
06/11/2015,27191,0.045986
07/11/2015,27321,0.042947
08/11/2015,28665,0.04288
09/11/2015,27826,0.042794
10/11/2015,28725,0.044163
11/11/2015,27550,0.043218
12/11/2015,27917,0.04405
13/11/2015,29472,0.045274
14/11/2015,29009,0.045122
15/11/2015,27763,0.048076
16/11/2015,27756,0.049342
17/11/2015,29002,0.050308
18/11/2015,28817,0.049728
19/11/2015,30221,0.048104
20/11/2015,27399,0.048549
21/11/2015,29053,0.052216
22/11/2015,28763,0.050335
23/11/2015,29591,0.048717
24/11/2015,27591,0.045648
25/11/2015,28960,0.041457
26/11/2015,32367,0.041874
27/11/2015,32265,0.062652
28/11/2015,30542,0.146119
29/11/2015,31091,0.170054
30/11/2015,31008,0.186959
01/12/2015,30207,0.196711
02/12/2015,32120,0.213782
03/12/2015,31854,0.223557
04/12/2015,32311,0.229548
05/12/2015,38917,0.224979
06/12/2015,34844,0.229863
07/12/2015,33878,0.228788
08/12/2015,34416,0.231426
09/12/2015,33461,0.242556
10/12/2015,32476,0.250017
11/12/2015,31700,0.252633
12/12/2015,31075,0.231118
13/12/2015,31994,0.22476
14/12/2015,33046,0.206692
15/12/2015,32975,0.198547
16/12/2015,34665,0.218282
17/12/2015,33202,0.252954
18/12/2015,33115,0.260138
19/12/2015,33731,0.27823
20/12/2015,34055,0.282785
21/12/2015,35113,0.290022
22/12/2015,34496,0.299542
23/12/2015,34569,0.304161
24/12/2015,34795,0.318162
25/12/2015,35122,0.323715
26/12/2015,34865,0.328798
27/12/2015,34380,0.332144
28/12/2015,35397,0.341299
29/12/2015,34916,0.34503
30/12/2015,34237,0.354164
31/12/2015,35567,0.356552
01/01/2016,34002,0.357285
02/01/2016,36855,0.366351
03/01/2016,36633,0.375372
04/01/2016,37547,0.367726
05/01/2016,37204,0.365953
06/01/2016,39208,0.366766
07/01/2016,38527,0.354528
08/01/2016,37312,0.35563
09/01/2016,36894,0.358933
10/01/2016,35933,0.366096
11/01/2016,36120,0.369664
12/01/2016,37113,0.37325
13/01/2016,36230,0.381642
14/01/2016,36042,0.379594
15/01/2016,35677,0.380023
16/01/2016,35739,0.386106
17/01/2016,36652,0.391571
18/01/2016,35162,0.390894
19/01/2016,35302,0.403778
20/01/2016,35267,0.395524
21/01/2016,35246,0.402258
22/01/2016,36498,0.404563
23/01/2016,36096,0.406701
24/01/2016,35303,0.406583
25/01/2016,35236,0.415414
26/01/2016,35718,0.421864
27/01/2016,38036,0.426757
28/01/2016,36524,0.423926
29/01/2016,38559,0.431477
30/01/2016,38331,0.429173
31/01/2016,37209,0.439
01/02/2016,37045,0.443806
02/02/2016,38377,0.444288
03/02/2016,39254,0.449925
04/02/2016,37494,0.449429
05/02/2016,38100,0.458619
06/02/2016,37252,0.453954
07/02/2016,37591,0.451177
08/02/2016,36416,0.461617
09/02/2016,36273,0.454615
10/02/2016,36669,0.457821
11/02/2016,37960,0.459739
12/02/2016,39657,0.46925
13/02/2016,40407,0.465737
14/02/2016,40707,0.463232
15/02/2016,43127,0.46299
16/02/2016,61996,0.465751
17/02/2016,64682,0.448655
18/02/2016,60381,0.443746
19/02/2016,56846,0.4489
20/02/2016,56460,0.446947
21/02/2016,54020,0.461311
22/02/2016,51314,0.484723
23/02/2016,62538,0.477295
24/02/2016,66547,0.485931
25/02/2016,80171,0.487845
26/02/2016,94134,0.485608
27/02/2016,106620,0.486523
28/02/2016,103159,0.488883
29/02/2016,104431,0.496049
01/03/2016,114418,0.486775
02/03/2016,75136,0.480238
03/03/2016,72601,0.47701
04/03/2016,72221,0.476427
05/03/2016,67262,0.46837
06/03/2016,68516,0.47621
07/03/2016,67873,0.491921
08/03/2016,68084,0.49702
09/03/2016,72064,0.502985
10/03/2016,79612,0.510647
11/03/2016,71787,0.510862
12/03/2016,67521,0.509779
13/03/2016,62777,0.512073
14/03/2016,62913,0.504911
15/03/2016,61554,0.512541
16/03/2016,61212,0.513205
17/03/2016,62085,0.516486
18/03/2016,61009,0.512899
19/03/2016,59408,0.512765
20/03/2016,59525,0.518227
21/03/2016,61802,0.521173
